Job Title,Company Name,Location,Sector
Data Scientist,ConcertAI,"New York, NY",-1
"Data Scientist, Recommendations","Tapestry
3.4","New York, NY",Retail
"Data Scientist, Analytics & Insights","Tapestry
3.4","New York, NY",Retail
Data Scientist,"CKM Advisors
2.9","New York, NY",Business Services
Machine Learning Engineer/Scientist,"Jane Street
4.8","New York, NY",Finance
Point72 Healthcare Data Scientist,"Point72
3.9","New York, NY",Finance
Senior Data Scientist - Automated Marketing,"Spotify
3.8","New York, NY",Information Technology
Data Scientist,"Averity
5.0","New York, NY",Business Services
Data Scientist,"The CARIAN Group
4.2","New York, NY",Business Services
Machine Learning & Data Engineer (Remote),"Jun Group Productions LLC
4.7","New York, NY",Information Technology
Data Scientist,GradTests (gradtests.com),"New York, NY",-1
Data Scientist,"Committee of 100
2.8","New York, NY",Non-Profit
Data Scientist / Statistician,"NJF Global Holdings
4.2","New York, NY",Business Services
Data Analyst,"DMGT
4.0","New York, NY",Finance
Data Scientist (Java),"ubergig
4.9","New York, NY",Business Services
Data Scientist,"OneWire
4.0","New York, NY",Business Services
Data Scientist,"Thomas
3.4","New York, NY",Business Services
Data Scientist,"TBWA\Chiat\Day
2.7","New York, NY",Business Services
Statistician (Data Scientist) *12 month Roster* *Direct Hire*,"Internal Revenue Service
3.5","New York, NY",Government
Data Scientist,"Harry and David, LLC
3.4","Carle Place, NY",Retail
Data Science Specialist USA,"Mphasis limited
3.3","New York, NY",Information Technology
Senior Data Scientist,"Foursquare
2.5","New York, NY",Information Technology
Data Scientist,Glean Analytics Inc.,"New York, NY",-1
"Quantitative Developer, Data & Institutional Markets","Ripple
4.4","New York, NY",Information Technology
"Data Scientist, Two Sigma Private Investments","Two Sigma
4.4","New York, NY",Finance
"Senior Data Scientist, Game Analytics","Rockstar Games
4.1","New York, NY",Media
Data Scientist,"TechProjects
4.8","New York, NY",Information Technology
Data Scientist,"Spring Health
3.6","New York, NY",Health Care
Senior Data Scientist,"Grubhub
3.8","New York, NY",Information Technology
Data Scientist,"SkillSoniq
5.0","New York, NY",-1
Data Scientist - Demand Forecasting,"Amazon
3.9","New York, NY",Information Technology
Senior Data Scientist,"Arena
4.5","New York, NY",Information Technology
Quantitative Analyst Intern,"D. E. Shaw & Co.
4.4","New York, NY",Finance
"Data Scientist / Analytics, Data Engineering","Sphinix Solutions
1.0","New York, NY",Information Technology
Data Analyst (Games),Carry1st,"New York, NY",-1
Data Scientist,"Lorven Technologies Inc
4.0","New York, NY",Accounting & Legal
Sports Betting Data Scientist,Line Sniper,"New York, NY",-1
Data Scientist,"Strategic Financial Solutions
3.6","New York, NY",Consumer Services
Data Scientist,"Audible
3.7","Newark, NJ",Media
Data Scientist,"Voice
3.4","Brooklyn, NY",-1
Data Engineer,"Seated
4.7","New York, NY",Information Technology
"Senior / Data Scientist, Ads and Messaging R&D","Spotify
3.8","New York, NY",Information Technology
Data Scientist/Data Science Instructor (Part-time),"NYC Data Science Academy
4.9","New York, NY",Education
Federal - Data Scientist,"Solekai Systems Corp
4.2","New York, NY",Information Technology
Data Scientist,"Digital Intelligence Systems, LLC
3.4","Franklin Lakes, NJ",Information Technology
"Senior Analyst, Data Science","Roku
3.9","New York, NY",Information Technology
Senior Data Scientist,"Oliver Wyman
4.4","New York, NY",Business Services
Machine Learning Researcher / Data Scientist,"J Harlan Group, LLC","New York, NY",-1
Applied Scientist,"Amazon
3.9","New York, NY",Information Technology
Quantitative Researcher - Portfolio Modeling,Edward Daniels Group,"New York, NY",Information Technology
Data Scientist,"InvenTech Info
4.8","Jersey City, NJ",Information Technology
Data Analyst,"Whip Media Group
5.0","New York, NY",-1
Investment & Data Science Intern,"JAG Capital
4.0","New York, NY",Manufacturing
Data Scientist(s)/Machine Learning Engineer,"Blue Horizon Tek Solutions
5.0","New York, NY",Business Services
CCB F&BM - Quantitative Modeler / Data Scientist - Marketing - Associate,"JPMorgan Chase Bank, N.A.
3.9","New York, NY",Finance
Data Scientist,"NPD
3.8","Port Washington, NY",Business Services
Data Science & Machine Learning Research Intern,Altversity,"New York, NY",-1
"Sr. Data Scientist/Data Engineer, AI (Tech Delivery Lead) – New York, NY/Dallas, TX","Fujitsu
3.3","New York, NY",-1
Data Scientist,"1-800-Flowers
2.8","New York, NY",Business Services
"Senior Data Scientist, Real World EvidenceNY","Flatiron Health
4.0","New York, NY",Information Technology
Data Scientist - Leading Quant Hedge Fund,Edward Daniels Group,"New York, NY",Information Technology
Data Scientist II,"MediaMath
3.6","New York, NY",Business Services
Data Scientist,The Organic Recruiter,"New York, NY",-1
Data Scientist,"Via Transportation
3.7","New York, NY",Information Technology
Data Scientist,Biotenico Research and Development Company,"New York, NY",-1
"Principal Associate, Data Scientist - Small Business Card, Entity Resolution","Capital One
3.9","New York, NY",Finance
Principal Data Scientist,"Gallup
4.2","New York, NY",Business Services
Data Scientist,"Building Service 32BJ Benefit Funds
1.9","New York, NY",Health Care
"Lead Data Scientist, R&D Team","Marsh
3.5","New York, NY",Insurance
Data Analyst,"Undertone
3.8","New York, NY",Business Services
Business Intelligence Analyst,"Simple Health
4.4","New York, NY",Information Technology
Product Data Analyst,"Galileo
5.0","New York, NY",Health Care
Data Analyst,"City of New York
3.4","New York, NY",Government
Data Scientist,"Catholic Health Services of Long Island
3.1","Rockville Centre, NY",Health Care
"Lead Data Scientist, R&D Team","Marsh & McLennan Companies, Inc.
3.4","New York, NY",Insurance
Data Analyst,"Pozent
3.5","New York, NY",-1
Senior Data Scientist,Entera,"New York, NY",Real Estate
Sr. Data Scientist,"Mediaocean
4.0","New York, NY",Information Technology
Senior Data Scientist,"The Trade Desk
3.4","New York, NY",Information Technology
Data Science Intern,The Buttonwood Tree,"New York, NY",-1
Senior Data Scientist,"NYC Health + Hospitals
3.6","New York, NY",Health Care
NLP Machine Learning Engineer,"Samsung NEXT
3.0","New York, NY",Information Technology
Senior Data Scientist,"Landis
5.0","New York, NY",-1
Senior Data Scientist,"NewtonX
4.1","New York, NY",Information Technology
"Data Analyst, Bitcoin Trading Firm",Fintech Recruiters,"New York, NY",-1
"VP, Data Scientist","Spot.IM
4.5","New York, NY",Information Technology
Senior Data Engineer,"Tapad
4.2","New York, NY",Information Technology
Data Scientist,Amber People,"New York, NY",-1
Senior Data Scientist,"Thrasio
5.0","New York, NY",Retail
Deployed Data Scientist,ConcertAI,"New York, NY",-1
Data Scientist,CompuForce,"New York, NY",-1
"Senior / Data Scientist, Advertising Business","Spotify
3.8","New York, NY",Information Technology
Data Scientist,Wisestep,"Queens Village, NY",-1
"Data Scientist, Voter Data",Hawkfish,"New York, NY",-1
Data Science Analyst/Engineer,"NYU Langone Health
4.1","New York, NY",Health Care
Data Scientist - Disney Streaming Services,"Disney Streaming Services
3.6","New York, NY",Information Technology
Data Scientist,HireAi,"New York, NY",-1
Data Analyst,"Vettery
3.1","New York, NY",Information Technology
Data Scientist,"TEKREQS, Inc.
1.0","New York, NY",-1
"Manager, Data Scientist Recommendations","Tapestry
3.4","New York, NY",Retail
Lead Data Scientist,"eBay
3.6","New York, NY",Information Technology
Senior Data Scientist,"Bowery Farming
4.6","New York, NY",Agriculture & Forestry
Principal Data Scientist,"Slice (NY)
4.0","New York, NY",Information Technology
Scientist Data Analytics,"TEEMA
4.7","New York, NY",Business Services
Data Engineer,"Mark43
4.4","New York, NY",Information Technology
Hiring Data Scientist/AI/ML,"Comtech Global Inc
4.0","New York, NY",Consumer Services
Data Analyst,"MediaMath
3.6","New York, NY",Business Services
Lead Data Scientist,"Rockstar Games
4.1","New York, NY",Media
Machine Learning Engineer,"Temboo
3.9","New York, NY",Information Technology
Data Scientist,"Management Decisions, Inc.
1.6","New York, NY",Business Services
Sr. Data Scientist II,"Argo Group US
3.5","New York, NY",Insurance
Senior Data Scientist - R&D Oncology,"AstraZeneca
4.0","New York, NY",Biotech & Pharmaceuticals
Data Science and Analytics,"Two95 International Inc.
4.0","New York, NY",Business Services
Data Analyst,"FINRA
3.5","New York, NY",Finance
Data Scientist,"Prolancer
5.0","New York, NY",-1
Data Scientist Product Manager,"Thrasio
5.0","New York, NY",Retail
"Senior Data Scientist, Real World Evidence","Flatiron Health
4.0","New York, NY",Information Technology
Data Scientist/Python Developer,"EDP World, Inc.
3.5","New York, NY",Business Services
"Software Engineer - Data Engineering, Finance Products","Squarespace
3.4","New York, NY",Information Technology
Senior Data Scientist,"TRANZACT
3.6","Fort Lee, NJ",Business Services
Intern- Martech & Data Consulting,"Havas Worldwide
3.2","New York, NY",Business Services
Data Engineer,"B12
4.7","New York, NY",Information Technology
Data Scientist,Simatree,"Middletown, NJ",Business Services
Senior Data Scientist,"Averity
5.0","New York, NY",Business Services
"Senior Scientist, Computational Biology","Icahn School of Medicine at Mount Sinai
3.9","New York, NY",-1
Senior Data Scientist,"CyberCoders
4.2","New York, NY",Business Services
Data Engineer,"GNY Insurance Companies
3.7","New York, NY",Insurance
Sr Data Scientist,"Healthfirst (New York)
3.1","New York, NY",Insurance
Data Scientist,"Visiting Nurse Service of New York
3.8","New York, NY",Health Care
Data Visualization Engineer,"Point72
3.9","New York, NY",Finance
Quantitative Researcher - Alpha Capture,Kepler Fi,"New York, NY",-1
Research Scientist,"NYU Langone Health
4.1","New York, NY",Health Care
Principal Data Scientist,"Slice
3.8","New York, NY",Finance
Machine Learning Engineer,"Peloton Interactive
3.8","New York, NY",Consumer Services
"Senior Data Scientist, Treasury Product Manager","Bank of America
3.7","New York, NY",Finance
Data Scientist - Market and Sales Analytics,"Riskified
4.4","New York, NY",Business Services
Sr. Data Scientist,"Amazon
3.9","New York, NY",Information Technology
Data Scientist (Fintech),"ingenium.agency
5.0","Brooklyn, NY",Business Services
Data Scientist I Seller Development,"Amazon
3.9","New York, NY",Information Technology
"Applied Scientist, Machine Learning (BK or SF)","Etsy
3.6","Brooklyn, NY",Retail
Quantitative Researcher,"NJF Global Holdings
4.2","New York, NY",Business Services
AI Engineering: Data Scientist/Machine Learning Engineer,"JPMorgan Chase Bank, N.A.
3.9","Jersey City, NJ",Finance
Quantum Data Scientist (Industrial-Process sector),"IBM
3.7","New York, NY",Information Technology
Principal Data Scientist,"Caserta
4.3","New York, NY",Information Technology
Small Business Lending Data Scientist,"Credibly
3.5","New York, NY",Finance
"Data Scientist, Primary Research (Disney Streaming Services)","Walt Disney Co.
4.0","New York, NY",Media
"Machine Learning Engineer, Computer Vision","Samsung NEXT
3.0","New York, NY",Information Technology
Sr Data Scientist,"Healthfirst
3.1","New York, NY",Insurance
"Senior Data Analyst, Disney+","The Walt Disney Company
4.0","New York, NY",Media
Quantitative Researcher,"LaBine & Associates
5.0","New York, NY",Business Services
Data Analyst,"Andiamo
3.5","New York, NY","Restaurants, Bars & Food Services"
Marketing Data Analyst,"Current
3.6","New York, NY",-1
"Senior Data Scientist, Product Analytics","Slice
4.4","New York, NY",Information Technology
Data Science & Analytics Manager,Kinship,"New York, NY",Business Services
RWD Healthcare Data Scientist,"WCG
2.6","Florham Park, NJ",Business Services
Senior Data Scientist,"Humana
3.6","Jersey City, NJ",Insurance
Machine Learning Engineer,"The Trevor Project
4.6","New York, NY",Non-Profit
Engineering Team Lead - Data Science,"Datadog
4.1","New York, NY",Information Technology
Data Engineer,Pinto,"New York, NY",-1
Senior Data Scientist,"Huxley
3.3","New York, NY",Business Services
Research Scientist - Machine Learning,"Samsung Research America
3.5","New York, NY",Information Technology
Computer Vision Image Analytics Data Scientist,Wise Skulls,"New York, NY",-1
Data Engineer - Talent Pool,"Colgate-Palmolive
4.1","New York, NY",Manufacturing
Principal Data Scientist,"First Health Group
3.2","New York, NY",Insurance
Data Analyst,"Hearst Communications
4.0","New York, NY",Business Services
"Director of Engineering, Data","Better.com
4.0","New York, NY",Information Technology
Data Analyst Intern,"My Job Tank
3.6","Jersey City, NJ",Information Technology
Senior Data Scientist - Ads Analytics / Machine Learning,"Spotify
3.8","New York, NY",Information Technology
Data Engineer,"Point72
3.9","New York, NY",Finance
People Analytics Data Engineer,"D. E. Shaw & Co.
4.4","New York, NY",Finance
"Senior Data Modeler/Ontologist, Knowledge Base","Etsy
3.6","New York, NY",Retail
Machine Learning Engineer,"Amazon
3.9","New York, NY",Information Technology
Senior Data Scientist,"SpikeIT Global Solutions, Inc.","Newark, NJ",-1
Sr. Data Scientist,"Take-Two Interactive Software, Inc.
3.7","New York, NY",Media
Data Scientist - CloudOps,"Datadog
4.1","New York, NY",Information Technology
Data Scientist (Fintech),ingenium.agency,"New York, NY",-1
Business/Data Analyst (FP&A),"Two Sigma
4.4","New York, NY",Finance
Senior Data Scientist,"Komodo Health
3.7","New York, NY",Information Technology
Remote work - Data Scientist with background in Epidemiology,"nFolks Ltd
2.5","New York, NY",Business Services
Data Analyst,"Teachers Pay Teachers
4.9","New York, NY",Information Technology
Sr. Data Scientist,"TMP WORLDWIDE
3.6","New York, NY",Business Services
"Senior Data Scientist, Programmatic","DoubleVerify
3.6","New York, NY",Information Technology
Senior Data Scientist,"ERGO Group
3.3","New York, NY",Information Technology
Quantitative Research Analyst,"DBRS Morningstar
3.6","New York, NY",Finance
Quantitative Researcher Extern -- January,"Five Rings Capital
5.0","New York, NY",Finance
Senior Data Scientist - Central Product Insights,"Spotify
3.8","New York, NY",Information Technology
Data Analyst,"Medly Pharmacy
4.8","Brooklyn, NY",Health Care
Assistant Research Scientist,"NYU Langone Health
4.1","New York, NY",Health Care
Data Analyst,"Tachyon Technologies
4.4","New York, NY",Information Technology
Data Analyst - Intex Developer,"Macquarie Group
3.3","New York, NY",Finance
Machine Learning Engineer,"Bank of America
3.7","New York, NY",Finance
Information Systems Officer (Data Analyst),"United Nations
4.1","New York, NY",Government
Research Scientist - Neural Interfaces,"Facebook
4.5","New York, NY",Information Technology
"Strategic Data Scientist, Data & Technology",ConcertAI,"New York, NY",-1
Sr Data Scientist,"Hadiamondstar Software Solutions LLC
3.6","Jersey City, NJ",Information Technology
Sr. Principal Metrics Analyst- Data Scientist,"The Bank of New York Mellon
3.2","New York, NY",Finance
Senior Data Scientist,"Northwestern Mutual
3.8","New York, NY",Finance
Machine Learning Engineer,"Mitchell Martin
4.1","New York, NY",Business Services
Staff Data Infrastructure Engineer,"Ro
4.8","New York, NY",Health Care
Data Engineer,"FanDuel
3.9","New York, NY","Arts, Entertainment & Recreation"
Data Engineer,"Nasdaq
3.6","New York, NY",Finance
Quantitative Researcher - Intern,"Point72
3.9","New York, NY",Finance
Data Analyst,Gainful Health,"New York, NY",Retail
People Research Scientist,"Two Sigma
4.4","New York, NY",Finance
Point72 Quantitative Researcher,"Point72
3.9","New York, NY",Finance
Data Analyst,"SoftStandard Solutions
4.8","New York, NY",-1
Senior Data Scientist - Algorithms,"Quartet Health
3.9","New York, NY",Information Technology
Senior Big Data Engineer & Data Scientist (Apps Systems Engineer 6),"Wells Fargo
3.6","Summit, NJ",Finance
Data Analyst,"Mulberry Technology
5.0","New York, NY",-1
eCommerce Analytics Manager,"Bombas
4.9","New York, NY",Retail
Data Analyst,Newspaper Administration,"New York, NY",-1
Permanent Job: People Analytics Data Scientist,"Bey
1.0","New York, NY",-1
Data Analyst,Hyde Leadership Brooklyn,"Brooklyn, NY",-1
Senior Data Scientist,"NPD
3.8","New York, NY",Business Services
"Data Analyst, Public Health Laboratory","City of New York
3.4","New York, NY",Government
"Data Analyst, Center on Immigration and Justice (CIJ)","Vera Institute of Justice
3.2","New York, NY",Non-Profit
Senior Data Scientist,"ASB Resources
4.0","Newark, NJ",Information Technology
Senior Data Scientist,"Amazon
3.9","New York, NY",Information Technology
Data Engineer,"Freestar
4.9","New York, NY",Business Services
"Manager Data Scientist, Analytics & Insights","Tapestry
3.4","New York, NY",Retail
"Data Scientist with SQL, Python, R, Tableau","TechProjects
4.8","New York, NY",Information Technology
Data Engineer,"PulsePoint
4.4","New York, NY",Information Technology
Machine Learning Scientist,"Job Juncture
4.7","Maywood, NJ",Business Services
Data Scientist Machine Learning Engineer,Group HN - HN Services USA,"New York, NY",-1
Senior Data Scientist,"Match Group
2.8","New York, NY",Business Services
Data Analyst,NYU Langone Medical Center,"New York, NY",-1
Quantum Principal Data Scientist (Industrial-Discrete sector),"IBM
3.7","New York, NY",Information Technology
Quantum Principal Data Scientist (Industrial-Process sector),"IBM
3.7","New York, NY",Information Technology
Data Analyst,"EDO, Inc.
5.0","New York, NY",Information Technology
Senior Data Scientist,"Sunrise Systems Inc
3.7","Newark, NJ",Information Technology
"Senior Data Scientist, Trello (Remote)","Atlassian
4.4","New York, NY",Information Technology
"Lead Data Scientist, R&D Team","Guy Carpenter
3.4","New York, NY",Insurance
Lead Data Scientist - Cyber Security,"MassMutual
3.7","New York, NY",Insurance
Data Analyst,Monkey Algorithms LLC,"New York, NY",-1
Principal Data Scientist - R&D Oncology,"AstraZeneca
4.0","New York, NY",Biotech & Pharmaceuticals
Data Analyst,"Nesco Resource, LLC
2.9","New York, NY",Business Services
Data Scientist - Social Impact (FT),"Barnabas Health
2.1","West Orange, NJ",-1
Senior Data Scientist,"Strivr
4.5","Los Angeles, CA",Information Technology
Data Scientist,"BlackLine
3.9","Woodland Hills, CA",Information Technology
Junior Data Scientist,"NBC Universal
3.8","Universal City, CA",Media
Data Scientist,"Acorns
3.9","Anaheim, CA",Finance
Public Policy Data Analyst,"Netflix, Inc.
4.0","Los Angeles, CA",Information Technology
Data Engineer,"Albert (CA)
3.7","Los Angeles, CA",Finance
Senior Data Scientist,"Jam City
3.9","Culver City, CA",Media
Data Analyst Healthcare - Experienced or Entry Level,"Delmarva Foundation
3.1","Cerritos, CA",Business Services
Data Scientist,"Hulu
3.8","Santa Monica, CA",Media
Data Scientist,"Mythical Games
4.6","Los Angeles, CA",Media
Data Scientist - Product,"Honey
4.4","Los Angeles, CA",Information Technology
Data Scientist - Product,"Honey
2.3","Los Angeles, CA",Retail
Data Scientist,"Starz
2.9","Santa Monica, CA",Media
Data Scientist 2,"Humana
3.6","Torrance, CA",Insurance
Data Scientist,"The Aerospace Corporation
3.9","El Segundo, CA",Aerospace & Defense
Data Scientist,"mPulse Mobile
3.7","Los Angeles, CA",Health Care
Data Analyst - LA,"BlueLabs
4.7","Los Angeles, CA",Business Services
Data Scientist,"Beyond Limits
4.2","Glendale, CA",Business Services
Data Scientist/Lead Data Scientist - LA,"BlueLabs
4.7","Los Angeles, CA",Business Services
Data Scientist,"Amazon
3.9","Santa Monica, CA",Information Technology
"AVP, Quantitative Analyst, Portfolio Analytics, Risk and Reporting","Oaktree Capital Management
3.4","Los Angeles, CA",Finance
Lead Data Analyst,"Headspace
3.4","Santa Monica, CA",Information Technology
Data Scientist,"Aviana Global Technologies
4.2","Brea, CA",Information Technology
Data Scientist,"Ipsos
3.2","Culver City, CA",Business Services
"Data Scientist, Product Analytics AR/VR","Facebook
4.5","Los Angeles, CA",Information Technology
Senior Data Scientist,"TikTok
3.8","Los Angeles, CA",Information Technology
Data Scientist,GradTests (gradtests.com),"Los Angeles, CA",-1
Data Analyst (Apex Legends),"Electronic Arts
3.9","Los Angeles, CA",Media
Senior Data Scientist,"Steady
3.6","Los Angeles, CA",Information Technology
Statistician (Data Scientist) *12 month Roster* *Direct Hire*,"Internal Revenue Service
3.5","Los Angeles, CA",Government
Senior Data Scientist,"Zest AI
3.7","Burbank, CA",Finance
Data Scientist,"ConsumerTrack
3.2","El Segundo, CA",Information Technology
Data Scientist,Evolvinc,"Burbank, CA",Information Technology
Data Scientist,"Aspiration
2.4","Los Angeles, CA",Finance
Data Scientist,"SkillSoniq
5.0","Los Angeles, CA",-1
"Wealth Management, MIS Data Scientist, Associate","J.P. Morgan
3.9","Westmont, CA",Finance
Federal - Data Scientist,"Solekai Systems Corp
4.2","Los Angeles, CA",Information Technology
Data Engineer,"SADA
4.7","Los Angeles, CA",Information Technology
Data Analytics Insights Analyst,"Neustar
3.7","Los Angeles, CA",Information Technology
Senior Data Scientist,"Walt Disney Company
4.0","Los Angeles, CA",Media
Data Scientist - Nationwide Opportunities,"Amazon
3.9","Santa Monica, CA",Information Technology
"Data Scientist, Strategic Research and Analytics","Center for Sustainable
2.8","Los Angeles, CA","Oil, Gas, Energy & Utilities"
Educational Data Scientist,Expatiate Communications,"Pasadena, CA",-1
Data Scientist,"Turner Broadcasting
3.7","Burbank, CA",Media
Data Scientist,"City of Hope
3.3","Irwindale, CA",Health Care
Data Analyst I,"L.A. Care Health Plan
3.1","Los Angeles, CA",Health Care
Senior Data Scientist,"Foursquare
2.5","Los Angeles, CA",Information Technology
Data Scientist,"Anchor Loans LP
3.3","Calabasas, CA",Real Estate
Data Scientist,"Gurucul
3.0","El Segundo, CA",Information Technology
Data Scientist,BlackLine Systems,"Woodland Hills, CA",-1
Staff Data Scientist - Consumer,"Opendoor
3.5","Los Angeles, CA",Real Estate
Machine Learning Engineer Intern,"Magic Brush
3.0","Los Angeles, CA","Construction, Repair & Maintenance"
Data Analyst,People Tree,"Hermosa Beach, CA",Business Services
Business Intelligence Analyst,"NEXT Trucking
4.0","El Segundo, CA",Transportation & Logistics
Data Analyst,"Wellth Inc.
5.0","Los Angeles, CA",Information Technology
Robotics Scientist,"iRobot
3.5","Pasadena, CA",Retail
